Date,Balance,
20/10/2016,7000.00,
22/10/2016,6975.01,
22/10/2016,6963.01,
23/10/2016,6961.01,
23/10/2016,6959.76,
25/10/2016,6958.04,
25/10/2016,6956.24,
26/10/2016,6954.26,
26/10/2016,6951.85,
26/10/2016,6950.13,
27/10/2016,6949.34,
27/10/2016,6947.62,
27/10/2016,6946.12,
27/10/2016,6942.87,
28/10/2016,6940.37,
28/10/2016,6917.58,
29/10/2016,6916.88,
29/10/2016,6913.44,
29/10/2016,6263.45,
31/10/2016,6262.75,
31/10/2016,6261.03,
31/10/2016,6260.51,
31/10/2016,6259.01,
31/10/2016,6258.02,
02/11/2016,6254.87,
02/11/2016,6254.17,
02/11/2016,6251.17,
02/11/2016,6250.47,
02/11/2016,6248.75,
02/11/2016,6247.19,
02/11/2016,6187.19,
04/11/2016,6186.19,
04/11/2016,6184.69,
04/11/2016,5884.69,
04/11/2016,5872.71,
05/11/2016,5865.82,
05/11/2016,5864.18,
05/11/2016,5861.24,
05/11/2016,5858.49,
05/11/2016,5851.49,
05/11/2016,5848.49,
05/11/2016,5840.99,
06/11/2016,5837.24,
07/11/2016,5836.45,
07/11/2016,5834.73,
07/11/2016,5833.06,
07/11/2016,5831.37,
07/11/2016,5830.47,
07/11/2016,5810.47,
07/11/2016,5805.47,
08/11/2016,5793.47,
08/11/2016,5792.09,
09/11/2016,5774.09,
09/11/2016,5772.09,
09/11/2016,5752.09,
11/11/2016,3607.09,
12/11/2016,3602.09,
13/11/2016,3597.09,
15/11/2016,3582.09,
16/11/2016,3580.30,
16/11/2016,3577.30,
16/11/2016,3575.80,
17/11/2016,3535.80,
17/11/2016,3529.80,
20/11/2016,3524.80,
23/11/2016,3523.80,
25/11/2016,3481.84,
25/11/2016,3477.85,
25/11/2016,3473.86,
25/11/2016,3453.86,
26/11/2016,3448.86,
29/11/2016,3446.86,
29/11/2016,3444.86,
29/11/2016,3443.86,
30/11/2016,3441.86,
30/11/2016,3436.86,
01/12/2016,3435.36,
01/12/2016,3433.11,
01/12/2016,3413.11,
01/12/2016,3411.32,
01/12/2016,3409.63,
01/12/2016,3432.43,
02/12/2016,3474.39,
02/12/2016,3472.89,
02/12/2016,3471.39,
03/12/2016,3470.35,
03/12/2016,3468.56,
03/12/2016,3373.57,
04/12/2016,3468.56,
04/12/2016,3462.56,
05/12/2016,3457.56,
06/12/2016,3456.10,
06/12/2016,3455.08,
06/12/2016,3453.69,
07/12/2016,3433.69,
07/12/2016,3428.69,
09/12/2016,3426.97,
