Date,Balance,
20/10/2016,7000.00,
22/10/2016,6975.01,
,6963.01,
23/10/2016,6961.01,
,6959.76,
25/10/2016,6958.04,
,6956.24,
26/10/2016,6954.26,
,6951.85,
,6950.13,
27/10/2016,6949.34,
,6947.62,
,6946.12,
,6942.87,
28/10/2016,6940.37,
,6917.58,
29/10/2016,6916.88,
,6913.44,
,6263.45,
31/10/2016,6262.75,
,6261.03,
,6260.51,
,6259.01,
,6258.02,
02/11/2016,6254.87,
,6254.17,
,6251.17,
,6250.47,
,6248.75,
,6247.19,
,6187.19,
04/11/2016,6186.19,
,6184.69,
,5884.69,
,5872.71,
05/11/2016,5865.82,
,5864.18,
,5861.24,
,5858.49,
,5851.49,
,5848.49,
,5840.99,
06/11/2016,5837.24,
07/11/2016,5836.45,
,5834.73,
,5833.06,
,5831.37,
,5830.47,
,5810.47,
,5805.47,
08/11/2016,5793.47,
,5792.09,
09/11/2016,5774.09,
,5772.09,
,5752.09,
11/11/2016,3607.09,
12/11/2016,3602.09,
13/11/2016,3597.09,
15/11/2016,3582.09,
16/11/2016,3580.30,
,3577.30,
,3575.80,
17/11/2016,3535.80,
,3529.80,
20/11/2016,3524.80,
23/11/2016,3523.80,
25/11/2016,3481.84,
,3477.85,
,3473.86,
,3453.86,
26/11/2016,3448.86,
29/11/2016,3446.86,
,3444.86,
,3443.86,
30/11/2016,3441.86,
,3436.86,
01/12/2016,3435.36,
,3433.11,
,3413.11,
,3411.32,
,3409.63,
,3432.43,
02/12/2016,3474.39,
,3472.89,
,3471.39,
03/12/2016,3470.35,
,3468.56,
,3373.57,
04/12/2016,3468.56,
,3462.56,
05/12/2016,3457.56,
06/12/2016,3456.10,
,3455.08,
,3453.69,
07/12/2016,3433.69,
,3428.69,
09/12/2016,3426.97,
10/12/2016,3420.97,
11/12/2016,3420.21,
,3419.19,
12/12/2016,3416.89,
,3416.24,
,3415.22,
,3414.32,
13/12/2016,3409.32,
,3408.30,
,3407.30,
15/12/2016,3401.02,
,3381.02,
16/12/2016,3366.02,
,3363.29,
17/12/2016,3362.40,
,3361.41,
18/12/2016,3353.01,
19/12/2016,3348.01,
,3346.96,
,3346.06,
,3343.33,
21/12/2016,3337.33,
23/12/2016,3336.38,
,3335.73,
,3334.44,
,3332.15,
,3329.86,
,3329.37,
,3327.98,
,3326.60,
,3325.55,
,3324.76,
25/12/2016,3321.22,
,3318.98,
26/12/2016,3317.91,
,3316.41,
,3296.41,
28/12/2016,3294.62,
,3293.62,
29/12/2016,3292.83,
